p1,p2,p3,p4,p5,p6
ドータクン,ポリゴン２,ヌオー,カイリュー,カプ・レヒレ,ウーラオス悪
カイリュー,テッカグヤ,カプ・レヒレ,ゴチルゼル,ドサイドン,ウーラオス悪
ウオノラゴン,ウーラオス悪,サンダー電,ランドロス霊,カプ・レヒレ,ポリゴン２
ウーラオス悪,ナットレイ,ウツロイド,サンダー電,モジャンボ,カバルドン
ラグラージ,カイリュー,ポリゴン２,ウオノラゴン,ミミッキュ,ウーラオス悪
カイリュー,ウーラオス悪,ミミッキュ,ポリゴン２,カプ・レヒレ,サンダー電
アーゴヨン,ポリゴン２,カバルドン,カミツルギ,カイリュー,ウーラオス悪
ポリゴン２,パッチラゴン,ミミッキュ,ヒヒダルマ氷,ウーラオス悪,ラプラス
ブリザポス,ポリゴン２,サンダー電,ウーラオス悪,ゴリランダー,カプ・コケコ
カプ・コケコ,ポリゴン２,エースバーン,アーゴヨン,ランドロス霊,ウーラオス悪
カバルドン,エースバーン,ラプラス,サンダー電,ウーラオス悪,ミミッキュ
ポリゴン２,ランドロス霊,エースバーン,ドヒドイデ,ウーラオス悪,サンダー電
エースバーン,サンダー電,カバルドン,カプ・レヒレ,ミミッキュ,ウーラオス悪
クレセリア,テッカグヤ,ウツロイド,カイリュー,ウーラオス悪,ラプラス
サンダー電,ウオノラゴン,ポリゴン２,ドヒドイデ,ガブリアス,ウーラオス悪
ミミッキュ,カバルドン,ボルトロス霊,ウーラオス悪,エースバーン,ポリゴン２
オンバーン,カプ・レヒレ,ドサイドン,ウーラオス悪,ウオノラゴン,ジバコイル
ドータクン,ポリゴン２,ヌオー,カイリュー,カプ・レヒレ,ウーラオス悪
ドラパルト,サンダー電,ウーラオス悪,ランドロス霊,ウツロイド,ウオノラゴン
ウーラオス悪,ポリゴン２,ドヒドイデ,ミミッキュ,カイリュー,バシャーモ
バシャーモ,ミミッキュ,ポリゴン２,サンダー電,ウオノラゴン,ウーラオス悪
カイリュー,ウーラオス悪,テッカグヤ,ミミッキュ,ガマゲロゲ,スイクン
アーゴヨン,カプ・レヒレ,ドサイドン,テッカグヤ,ジバコイル,ウーラオス悪
エースバーン,サンダー電,ウーラオス悪,ランドロス霊,カプ・レヒレ,ポリゴン２
サンダー電,ランドロス霊,ウーラオス悪,ドヒドイデ,ポリゴン２,ピクシー
ムゲンダイナ,ラッキー,ヌオー,ヌケニン,エースバーン,ウーラオス悪
カイオーガ,ナットレイ,サンダー電,カイリュー,エースバーン,ウーラオス悪
バドレックス白,カプ・レヒレ,ナットレイ,ウーラオス悪,カイリュー,シャンデラ
バドレックス黒,マリルリ,エースバーン,カバルドン,カイリュー,ウーラオス悪
ラグラージ,バドレックス黒,ウーラオス悪,トゲキッス,ポリゴン２,ナットレイ
ラグラージ,ザシアン,サンダー電,ドラパルト,ラッキー,ウーラオス悪
カイオーガ,サンダー電,ガブリアス,ヒードラン,ミミッキュ,ウーラオス悪
ザシアン,サンダー電,ウオノラゴン,ウーラオス悪,ポリゴン２,ランドロス霊
ムゲンダイナ,ミミッキュ,サンダー電,ウーラオス悪,ナットレイ,ウオノラゴン
ザシアン,サンダー電,ウーラオス悪,ポリゴン２,ラプラス,ドサイドン
