p1,p2,p3,p4,p5,p6
カバルドン,ドラパルト,ポリゴン２,ウーラオス悪,サンダー電,カプ・レヒレ
カイリュー,ラグラージ,サンダー電,ポリゴン２,ミミッキュ,ウーラオス悪
サンダー電,ラグラージ,カミツルギ,カイリュー,ウーラオス悪,ポリゴン２
ラグラージ,カミツルギ,ウーラオス悪,カイリュー,ミミッキュ,サンダー電
カバルドン,サンダー電,ナットレイ,ミミッキュ,エースバーン,ウーラオス悪
サンダー電,ウーラオス悪,カイリュー,ウツロイド,ドリュウズ,カプ・レヒレ
ドリュウズ,ウーラオス悪,ブリザポス,テッカグヤ,ウオノラゴン,レジエレキ
ラグラージ,サンダー電,ギャラドス,アーゴヨン,ブリザポス,ウーラオス悪
カバルドン,テッカグヤ,エースバーン,ボルトロス化,ウーラオス悪,ミミッキュ
ドリュウズ,サンダー電,ウーラオス悪,カイリュー,ブリザポス,カプ・レヒレ
ミミッキュ,サンダー電,レジドラゴ,テッカグヤ,ウーラオス悪,ポリゴン２
ランドロス霊,ミミッキュ,ウーラオス悪,ジバコイル,カプ・テテフ,ドラパルト
ボスゴドラ,アーゴヨン,ランドロス霊,ウーラオス悪,カプ・コケコ,ミミッキュ
カイリュー,ポリゴン２,ドサイドン,ウーラオス悪,ミミッキュ,ジバコイル
ラグラージ,カイリュー,サンダー電,カミツルギ,ウーラオス悪,ヒヒダルマ氷
ポリゴン２,ミミッキュ,ウーラオス悪,ランドロス霊,カプ・レヒレ,パッチラゴン
バイバニラ,ラグラージ,カイリュー,カミツルギ,ヒードラン,ウーラオス悪
エースバーン,サンダー電,ラッキー,ドヒドイデ,ミミッキュ,ウーラオス悪
カバルドン,ウーラオス悪,サンダー電,ミミッキュ,ゴリランダー,エースバーン
レジエレキ,ウオノラゴン,ポリゴン２,エースバーン,エアームド,ウーラオス悪
カバルドン,サンダー電,ウーラオス悪,ドラパルト,ポリゴン２,カプ・レヒレ
ウーラオス悪,ナットレイ,カイリュー,ミミッキュ,ドサイドン,カプ・レヒレ
サンダー電,ウオノラゴン,マンムー,カプ・レヒレ,ウーラオス悪,ミミッキュ
サンダー電,ラグラージ,ウーラオス悪,ミミッキュ,カミツルギ,エースバーン
ウーラオス悪,ポリゴン２,ドヒドイデ,サンダー電,カイリュー,ミミッキュ
バンギラス,ランドロス霊,カプ・レヒレ,ナットレイ,サンダー電,ウーラオス悪
レジアイス,サンダー電,ポリゴン２,マニューラ,ミミッキュ,ウーラオス悪
ヒヒダルマ氷,ドサイドン,サンダー電,ラッキー,ドヒドイデ,ウーラオス悪
ウツロイド,ウーラオス悪,カイリュー,ドリュウズ,カプ・レヒレ,サンダー電
パッチラゴン,ヒヒダルマ氷,カミツルギ,ラグラージ,ウーラオス悪,ポリゴン２
サンダー電,ウーラオス悪,ランドロス霊,ラッキー,ヌオー,ドヒドイデ
ファイヤー炎,ドリュウズ,キュウコン氷妖,カミツルギ,ウーラオス悪,パッチラゴン
カバルドン,カミツルギ,ミミッキュ,ウーラオス悪,ラプラス,カイリュー
サンダー電,ラッキー,ドヒドイデ,フェローチェ,ウーラオス悪,カミツルギ
サンダー電,ミミッキュ,ラグラージ,ピクシー,ウーラオス悪,テッカグヤ
カビゴン,ウーラオス悪,パッチラゴン,クレセリア,インテレオン,ランドロス霊
パッチラゴン,ウオノラゴン,ウーラオス悪,トゲキッス,ポリゴン２,ミミッキュ
テッカグヤ,ガブリアス,ウオノラゴン,クレセリア,ウーラオス悪,ウツロイド
ウーラオス悪,ウツロイド,ナットレイ,サンダー電,ミミッキュ,カバルドン
カバルドン,サンダー電,ナットレイ,ウーラオス悪,ドラパルト,ミミッキュ
ガブリアス,ブリザポス,カプ・レヒレ,ウーラオス悪,アーゴヨン,サンダー電
クレセリア,ランターン,テッカグヤ,ミミッキュ,ウーラオス悪,ウツロイド
カイリュー,サンダー電,ドリュウズ,ミミッキュ,カプ・レヒレ,ウーラオス悪
ボルトロス霊,カプ・レヒレ,ナットレイ,ウーラオス悪,ランドロス霊,ミミッキュ
ドラパルト,ウーラオス悪,ポリゴン２,ドヒドイデ,ドリュウズ,サンダー電
サンダー電,ウオノラゴン,ナットレイ,カバルドン,ウーラオス悪,ミミッキュ
サンダー電,ドヒドイデ,ドサイドン,ポリゴン２,ウオノラゴン,ウーラオス悪
カバルドン,ボーマンダ,ジバコイル,カプ・レヒレ,ウーラオス悪,ウツロイド
サンダー電,ウオノラゴン,レジエレキ,ウーラオス悪,ナットレイ,エースバーン
ニョロトノ,キングドラ,レジエレキ,ランドロス霊,テッカグヤ,ウーラオス悪
ブリザポス,レジエレキ,ウーラオス悪,サンダー闘,ガラガラ炎霊,ミミッキュ
ギャラドス,パッチラゴン,ウーラオス悪,サンダー電,ポリゴン２,カプ・レヒレ
ファイヤー悪,ウーラオス悪,オーロンゲ,バンギラス,マニューラ,ミカルゲ
ウーラオス悪,ラッキー,カバルドン,カプ・レヒレ,エースバーン,サンダー電
ウーラオス悪,カバルドン,テッカグヤ,ミミッキュ,ウツロイド,ギャラドス
パッチルドン,ジバコイル,ドサイドン,カイリュー,ウオノラゴン,ウーラオス悪
ポリゴン２,ランドロス霊,ミミッキュ,ライコウ,ドヒドイデ,ウーラオス悪
ウーラオス悪,サンダー電,カバルドン,ウツロイド,ポリゴン２,ナマコブシ
ポリゴン２,クレセリア,ランドロス霊,ウーラオス悪,アーゴヨン,ドヒドイデ
ガブリアス,ウーラオス悪,カプ・レヒレ,アーゴヨン,ブリザポス,サンダー電
ウーラオス悪,サンダー電,カバルドン,ハピナス,ラプラス,ミミッキュ
サンダー電,エースバーン,ウーラオス悪,ジバコイル,カプ・レヒレ,ランドロス霊
ウツロイド,ウーラオス悪,サンダー電,ウオノラゴン,ポリゴン２,ミミッキュ
ウオノラゴン,ブリザポス,オーロンゲ,ドリュウズ,ウーラオス悪,サンダー電
エースバーン,カプ・レヒレ,ウツロイド,クレセリア,ゴリランダー,ウーラオス悪
サンダー電,ウオノラゴン,ミミッキュ,ウーラオス悪,ガマゲロゲ,ジバコイル
ウオノラゴン,ミミッキュ,ウーラオス悪,アーゴヨン,ポリゴン２,ジバコイル
ウーラオス悪,ミミッキュ,ボルトロス霊,カプ・レヒレ,カイリュー,ゴリランダー
サンダー電,カミツルギ,エースバーン,ウーラオス悪,ミミッキュ,ウオノラゴン
エースバーン,サンダー電,ナットレイ,ランドロス霊,ウツロイド,ウーラオス悪
カバルドン,サンダー電,ウツロイド,カミツルギ,ウーラオス悪,ドラパルト
ウオノラゴン,サンダー電,ウーラオス悪,ミミッキュ,ジバコイル,ランドロス霊
エースバーン,ミミッキュ,ブリザポス,ウーラオス悪,カプ・レヒレ,カイリュー
カバルドン,ウツロイド,サンダー電,ミミッキュ,ゴリランダー,ウーラオス悪
サンダー電,カバルドン,ラッキー,カプ・レヒレ,ウーラオス悪,ウオノラゴン
レジエレキ,ウーラオス悪,ミミッキュ,ボーマンダ,ゴリランダー,ヒヒダルマ氷
ウーラオス悪,ジバコイル,ランドロス霊,ウツロイド,ドラパルト,カプ・レヒレ
ウーラオス悪,ラグラージ,ボーマンダ,ナットレイ,ミミッキュ,サンダー電
カミツルギ,ラグラージ,サンダー電,カプ・レヒレ,ガブリアス,ウーラオス悪
エムリット,ポリゴン２,パッチラゴン,トゲキッス,カバルドン,ウーラオス悪
ブリザポス,ラッキー,ヌオー,エアームド,ウーラオス悪,サンダー電
カメックス,ボルトロス化,ナットレイ,ウツロイド,ランドロス霊,ウーラオス悪
カバルドン,サンダー電,ナットレイ,ウツロイド,ウーラオス悪,ミミッキュ
カプ・レヒレ,ファイヤー炎,バンギラス,マンムー,ウオノラゴン,ウーラオス悪
サンダー電,ドサイドン,カプ・レヒレ,カミツルギ,ミミッキュ,ウーラオス悪
サンダー電,ナットレイ,カバルドン,アーゴヨン,ウーラオス悪,ウオノラゴン
ボルトロス化,ランドロス霊,ウオノラゴン,ウーラオス悪,ミミッキュ,フェローチェ
ウオノラゴン,サンダー電,ドサイドン,ナットレイ,ミミッキュ,ウーラオス悪
ドラパルト,エースバーン,ウーラオス悪,カプ・コケコ,クレセリア,ブリザポス
カバルドン,サンダー電,ウオノラゴン,ポリゴン２,ウーラオス悪,ナットレイ
カバルドン,サンダー電,ナットレイ,ウツロイド,ウーラオス悪,ミミッキュ
アーゴヨン,ロトム水,ウーラオス悪,ミミッキュ,ウツロイド,ドリュウズ
ドラパルト,ミミッキュ,エースバーン,カプ・レヒレ,ポリゴン２,ウーラオス悪
ボーマンダ,ウーラオス悪,ミミッキュ,ラッキー,ドヒドイデ,ランドロス霊
ドラパルト,ギャラドス,ジバコイル,ウーラオス悪,ランクルス,ピクシー
ウーラオス悪,サンダー電,カプ・レヒレ,ナットレイ,ウツロイド,ランドロス霊
エースバーン,ミミッキュ,ブリザポス,ウーラオス悪,カプ・レヒレ,カイリュー
エースバーン,サンダー電,ドラパルト,ウーラオス悪,ハピナス,カバルドン
ドヒドイデ,ナットレイ,ウーラオス悪,ウツロイド,サンダー電,ウオノラゴン
ランドロス霊,ドヒドイデ,レジアイス,ウーラオス悪,カプ・レヒレ,サンダー電
ボーマンダ,ウーラオス悪,カプ・レヒレ,ジバコイル,カバルドン,ウツロイド
サンダー電,ドサイドン,ナットレイ,ドヒドイデ,ウーラオス悪,ミミッキュ
カイリュー,サンダー電,ウオノラゴン,ポリゴン２,ミミッキュ,ウーラオス悪
サンダー電,ドラパルト,カプ・レヒレ,ウーラオス悪,ポリゴン２,ウオノラゴン
ボルトロス化,エースバーン,ラティアス,カバルドン,ミミッキュ,ウーラオス悪
ミミッキュ,ランドロス霊,ウーラオス悪,ウオノラゴン,ポリゴン２,エースバーン
ドラパルト,サンダー電,ドリュウズ,カプ・レヒレ,ウルガモス,ウーラオス悪
ラグラージ,ボーマンダ,カミツルギ,ミミッキュ,ウーラオス悪,ジバコイル
ミミッキュ,ルガルガン黄昏,サンダー電,レジドラゴ,ポリゴン２,ウーラオス悪
フェローチェ,サンダー電,ドヒドイデ,ラッキー,ウーラオス悪,ミミッキュ
ウーラオス悪,ナットレイ,サンダー電,ドサイドン,エースバーン,ドラパルト
カバルドン,ウツロイド,ウーラオス悪,カミツルギ,ウオノラゴン,サンダー電
パッチラゴン,ウオノラゴン,テッカグヤ,ポリゴン２,ウーラオス悪,ミミッキュ
ウーラオス悪,サンダー電,レジエレキ,ブリザポス,ミミッキュ,ウオノラゴン
サンダー電,ウーラオス悪,エースバーン,ミミッキュ,ナットレイ,カバルドン
ウーラオス悪,ポリゴン２,ドヒドイデ,ウオノラゴン,サンダー電,ドリュウズ
ヒヒダルマ氷,カプ・レヒレ,ランドロス霊,サンダー電,ナットレイ,ウーラオス悪
エースバーン,サンダー電,カプ・レヒレ,ドリュウズ,ウーラオス悪,マンムー
エースバーン,ラプラス,ウーラオス悪,ミミッキュ,ランクルス,エルフーン
カバルドン,サンダー電,カミツルギ,ウーラオス悪,ガマゲロゲ,ミミッキュ
ブリザポス,カプ・コケコ,サンダー電,ポリゴン２,ゴリランダー,ウーラオス悪
テッカグヤ,クレセリア,ウーラオス悪,サンダー電,ランドロス霊,ウツロイド
ラグラージ,ウツロイド,サンダー電,エースバーン,クレセリア,ウーラオス悪
ポリゴンＺ,ウーラオス悪,ガマゲロゲ,レアコイル,モジャンボ,ハピナス
キュウコン氷妖,マリルリ,ポリゴンＺ,パッチラゴン,ゲンガー,ウーラオス悪
ウーラオス悪,パッチラゴン,モロバレル,アシレーヌ,ウルガモス,ゲンガー
ギルガルド,ストリンダー高,ウーラオス悪,アシレーヌ,ホルード,オンバーン
キュウコン氷妖,アシレーヌ,パッチラゴン,ギルガルド,ロトム炎,ウーラオス悪
ウーラオス悪,ロトム炎,モロバレル,ホルード,パッチラゴン,アシレーヌ
パッチラゴン,ゲンガー,アシレーヌ,ウーラオス悪,モロバレル,オーロンゲ
パッチラゴン,アシレーヌ,ホルード,ウーラオス悪,ウルガモス,ゲンガー
ウーラオス悪,ホルード,アシレーヌ,モロバレル,ロトム炎,ファイアロー
ロトム飛,バンバドロ,ナットレイ,アシレーヌ,ウーラオス悪,ゲンガー
ウインディ,ウーラオス悪,ポリゴンＺ,シルヴァディ,ニンフィア,マリルリ
ウルガモス,ウーラオス悪,ニンフィア,ガマゲロゲ,パッチラゴン,アーマーガア
ウーラオス悪,ドヒドイデ,リザードン,サザンドラ,サマヨール,マンムー
ランクルス,ヒヒダルマ氷,ハピナス,アシレーヌ,ウーラオス悪,アーマーガア
ストリンダー高,ウーラオス悪,ドサイドン,ニンフィア,モロバレル,ゲンガー
ウルガモス,パッチラゴン,サダイジャ,ウーラオス悪,ラプラス,ピクシー
パッチラゴン,ウーラオス悪,アシレーヌ,ホルード,モロバレル,ロトム炎
リザードン,ハピナス,ウーラオス悪,パッチラゴン,モロバレル,サニーゴ霊
キュウコン氷妖,オンバーン,アシレーヌ,ウーラオス悪,パッチルドン,ウインディ
ウォーグル,パッチラゴン,アシレーヌ,ナットレイ,マンムー,ウーラオス悪
キュウコン氷妖,カビゴン,ウーラオス悪,ロトム炎,パッチルドン,ウオノラゴン
ウーラオス悪,オーロンゲ,パッチラゴン,バイバニラ,ゲンガー,ブリムオン
ウーラオス悪,レアコイル,アシレーヌ,ホルード,オンバーン,ゲンガー
ニンフィア,ガマゲロゲ,アーマーガア,ウーラオス悪,ポリゴンＺ,ウインディ
ペンドラー,アシレーヌ,ホルード,オンバーン,リザードン,ウーラオス悪
オンバーン,ストリンダー低,ニンフィア,ウーラオス悪,ハッサム,ホルード
ホルード,アシレーヌ,キュウコン氷妖,ポットデス,ウーラオス悪,パッチラゴン
フライゴン,ドータクン,マリルリ,ウインディ,ナットレイ,ウーラオス悪
リザードン,ホルード,ウーラオス悪,ラッキー,モジャンボ,ヌオー
リザードン,ウーラオス悪,マタドガス毒妖,ラッキー,モジャンボ,ヌオー
オンバーン,ハッサム,ウーラオス悪,ストリンダー高,ニンフィア,ホルード
ドヒドイデ,クレベース,ハピナス,モジャンボ,サイドン,ウーラオス悪
ガマゲロゲ,リザードン,ニンフィア,ハッサム,ウーラオス悪,ポリゴンＺ
リザードン,ピクシー,サニーゴ霊,ウーラオス悪,ドヒドイデ,ポリゴンＺ
アーマーガア,ガマゲロゲ,ウインディ,アシレーヌ,ウーラオス悪,カビゴン
パッチラゴン,ポリゴンＺ,ギルガルド,ホルード,ファイアロー,ウーラオス悪
パッチラゴン,ホルード,ウーラオス悪,アシレーヌ,ウインディ,ゲンガー
リザードン,パッチラゴン,ウーラオス悪,アシレーヌ,ホルード,モロバレル
キュウコン氷妖,パッチラゴン,マリルリ,ポリゴンＺ,ドサイドン,ウーラオス悪
パッチラゴン,ポリゴンＺ,ウーラオス悪,ピクシー,オーロンゲ,ホルード
ウインディ,ウーラオス悪,アシレーヌ,モロバレル,ポリゴンＺ,マンムー
ゲンガー,アイアント,ニンフィア,サニーゴ霊,レアコイル,ウーラオス悪
オーロンゲ,ウーラオス悪,クワガノン,パッチラゴン,ホルード,ゲンガー
ウーラオス悪,アシレーヌ,ホルード,パッチラゴン,ニンフィア,リザードン
アシレーヌ,リザードン,ウーラオス悪,パッチラゴン,ニンフィア,ホルード
ウーラオス悪,ストリンダー高,サーナイト,オンバーン,ホルード,マリルリ
ホルード,リザードン,ラッキー,モロバレル,レアコイル,ウーラオス悪
オーロット,ドヒドイデ,ロトム炎,ピクシー,ドサイドン,ウーラオス悪
フライゴン,アシレーヌ,ロトム炎,ナットレイ,ウーラオス悪,マタドガス毒妖
ウインディ,ウーラオス悪,ロトム水,ジュラルドン,ドラピオン,キュウコン氷妖
ゲンガー,アシレーヌ,ウルガモス,ホルード,ヌメルゴン,ウーラオス悪
ウーラオス悪,パッチラゴン,ドサイドン,モロバレル,アシレーヌ,ウインディ
アシレーヌ,パッチラゴン,アイアント,ポリゴンＺ,ウーラオス悪,サーナイト
リザードン,ウーラオス悪,マタドガス毒妖,ラッキー,ヌオー,ナットレイ
リザードン,ウーラオス悪,アシレーヌ,パッチラゴン,ドサイドン,モロバレル
ゲンガー,ウーラオス悪,ホルード,ヌメルゴン,ロトム炎,キュワワー
ウーラオス悪,パッチラゴン,マリルリ,オーロンゲ,ロズレイド,ゲンガー
ウーラオス悪,ホルード,ウインディ,ギルガルド,アシレーヌ,キュウコン氷妖
ウインディ,ウーラオス悪,アシレーヌ,ランクルス,モジャンボ,ハピナス
パッチラゴン,ゲンガー,アシレーヌ,ウーラオス悪,ナットレイ,オンバーン
マリルリ,ウーラオス悪,リザードン,ホルード,ラフレシア,パッチラゴン
ゲンガー,マリルリ,ポリゴンＺ,ウーラオス悪,エアームド,パッチラゴン
ゲンガー,ロトム炎,ドサイドン,アシレーヌ,ウーラオス悪,モロバレル
ホルード,モロバレル,ウーラオス悪,ロトム炎,ドククラゲ,オンバーン
エルレイド,リザードン,モロバレル,ホルード,パッチラゴン,ウーラオス悪
リザードン,ピクシー,サニーゴ霊,ハピナス,ウーラオス悪,ポリゴンＺ
ストリンダー低,ウーラオス悪,ドサイドン,アシレーヌ,モロバレル,ゲンガー
リザードン,ホルード,ピクシー,ゲンガー,ウーラオス悪,パッチラゴン
ニョロトノ,キングドラ,アイアント,ウーラオス悪,ヤドラン毒超,ロトム氷
マタドガス毒妖,トリトドン,ナットレイ,ウーラオス悪,パッチラゴン,リザードン
パッチラゴン,リザードン,ウーラオス悪,ハピナス,エアームド,アマージョ
ポリゴンＺ,ガマゲロゲ,ウーラオス悪,モロバレル,ハピナス,ピクシー
ウーラオス悪,マホイップ,ドヒドイデ,クレベース,ラッキー,ヌオー
ゲンガー,ウオノラゴン,ホルード,ウーラオス悪,ピクシー,モロバレル
ホルード,ラプラス,ハッサム,アシレーヌ,ウーラオス悪,パッチラゴン
パッチラゴン,ウーラオス悪,アシレーヌ,ハッサム,ウインディ,バイバニラ
ヌケニン,セキタンザン,マリルリ,ウーラオス悪,マンムー,ギルガルド
ラフレシア,ラッキー,パッチラゴン,アーマーガア,ウーラオス悪,キュワワー
ウーラオス悪,マリルリ,オンバーン,アイアント,ポットデス,ウインディ
ドサイドン,ピクシー,モロバレル,ウーラオス悪,パッチラゴン,ラプラス
ゲンガー,エアームド,ウルガモス,ウーラオス悪,ホルード,パッチラゴン
ゲンガー,ウーラオス悪,ホルード,パッチラゴン,モロバレル,アシレーヌ
ホルード,アシレーヌ,ウーラオス悪,オンバーン,モロバレル,カビゴン
マリルリ,ウーラオス悪,モロバレル,ドサイドン,ホルード,ロトム炎
パッチラゴン,ハピナス,ウルガモス,ウーラオス悪,モロバレル,ロトム水
シルヴァディ,ゴチルゼル,ラプラス,テラキオン,ウーラオス悪,クサイハナ
ブリムオン,マリルリ,リザードン,パッチラゴン,ウーラオス悪,シルヴァディ
ウーラオス悪,マタドガス毒妖,ガマゲロゲ,パルシェン,パッチラゴン,リザードン
ラプラス,エースバーン,ミミッキュ,ウーラオス悪,ポリゴンＺ,ゴリランダー
ウーラオス悪,ギャラドス,ドラパルト,ゴリランダー,ポリゴン２,ジバコイル
エースバーン,カバルドン,ポリゴン２,ミミッキュ,ウーラオス悪,エルフーン
トゲデマル,ドラパルト,ギャラドス,カバルドン,トゲキッス,ウーラオス悪
ピクシー,ポリゴンＺ,ミミッキュ,ウーラオス悪,エースバーン,ゴリランダー
セキタンザン,ホルード,ウーラオス悪,ギャラドス,ゴリランダー,ジバコイル
カバルドン,ラッキー,トゲキッス,ウーラオス悪,ギャラドス,ギルガルド
ウーラオス悪,ハッサム,ドラパルト,ドヒドイデ,カバルドン,ハピナス
リザードン,ウーラオス悪,ガマゲロゲ,ハッサム,ポリゴン２,パッチラゴン
ロトム炎,トゲキッス,カバルドン,ゴリランダー,ミミッキュ,ウーラオス悪
ゴチルゼル,エースバーン,ゴリランダー,ウーラオス悪,ミミッキュ,ポリゴンＺ
ウーラオス悪,アシレーヌ,エースバーン,カバルドン,ロトム飛,ナットレイ
ドラパルト,ミミッキュ,エースバーン,ゴリランダー,ウーラオス悪,ポリゴンＺ
エースバーン,ウーラオス悪,ロトム水,トゲキッス,キュワワー,ギルガルド
ロトム炎,カバルドン,トゲキッス,ドラパルト,ミミッキュ,ウーラオス悪
エースバーン,トゲキッス,ポリゴン２,ウーラオス悪,ジバコイル,ウオノラゴン
ドラパルト,アシレーヌ,エースバーン,ジバコイル,ミミッキュ,ウーラオス悪
ドラパルト,ギャラドス,ロトム炎,ウーラオス悪,エルフーン,ジバコイル
トゲキッス,エースバーン,ゴリランダー,ウーラオス悪,ミミッキュ,ジバコイル
メタモン,ラッキー,ドヒドイデ,カバルドン,バルジーナ,ウーラオス悪
エルフーン,エースバーン,ジバコイル,ウオノラゴン,ドラパルト,ウーラオス悪
インテレオン,エースバーン,ミミッキュ,ウーラオス悪,トゲキッス,ポリゴン２
エースバーン,アシレーヌ,ウーラオス悪,ロトム飛,ゴチルゼル,ミミッキュ
エースバーン,ウーラオス悪,ギャラドス,ジバコイル,ガマゲロゲ,ポリゴン２
ドラパルト,ウーラオス悪,アシレーヌ,ロトム炎,ミミッキュ,ゴリランダー
ウーラオス悪,ジバコイル,ギャラドス,フシギバナ,ドラパルト,ドサイドン
トゲキッス,エースバーン,ウーラオス悪,パッチラゴン,ドラパルト,ポリゴン２
フシギバナ,コータス,ミミッキュ,エースバーン,ウーラオス悪,マリルリ
インテレオン,ドリュウズ,ゴリランダー,ドラパルト,ウーラオス悪,ジバコイル
オノノクス,ハッサム,アシレーヌ,ウーラオス悪,シャンデラ,キュワワー
モスノウ,ウオノラゴン,ルチャブル,セキタンザン,ゴリランダー,ウーラオス悪
ドラパルト,カバルドン,トゲキッス,ジバコイル,ギャラドス,ウーラオス悪
ポリゴン２,エースバーン,ウーラオス悪,ジバコイル,ギャラドス,カバルドン
エースバーン,パッチラゴン,トゲキッス,ギャラドス,ポリゴン２,ウーラオス悪
ポリゴンＺ,ドラパルト,トゲキッス,ウーラオス悪,バンギラス,アシレーヌ
ウーラオス悪,エースバーン,トゲキッス,ミミッキュ,マリルリ,ポリゴンＺ
エースバーン,ウーラオス悪,ジバコイル,ミミッキュ,カバルドン,ポリゴン２
ドラパルト,エースバーン,ゴリランダー,ウーラオス悪,ラプラス,ジバコイル
ハピナス,ヤドラン水超,ドラパルト,カバルドン,モロバレル,ウーラオス悪
ハッサム,キングドラ,ペリッパー,ジバコイル,ウーラオス悪,ミミッキュ
トゲキッス,ポリゴン２,カバルドン,エースバーン,ゴリランダー,ウーラオス悪
ドラパルト,ウーラオス悪,トゲキッス,ギャラドス,ゴリランダー,ストリンダー高
マリルリ,ロトム炎,トリトドン,ドラパルト,ウーラオス悪,アーマーガア
ドラパルト,ポリゴン２,ロトム炎,トゲキッス,ウーラオス悪,ミミッキュ
エースバーン,ドラパルト,ウーラオス悪,ミミッキュ,ロトム飛,エアームド
ウーラオス悪,ギャラドス,ジバコイル,ドラパルト,ドサイドン,ゴリランダー
ウーラオス悪,カバルドン,ゴリランダー,ロトム炎,ミミッキュ,ガオガエン
ポリゴン２,ドヒドイデ,エースバーン,ピクシー,ウーラオス悪,ドラパルト
リザードン,ナットレイ,アシレーヌ,ドリュウズ,ミミッキュ,ウーラオス悪
ガラガラ炎霊,ポリゴン２,ウーラオス悪,ドラパルト,オーロンゲ,ピクシー
ゲンガー,ポリゴン２,マリルリ,ドラパルト,ドリュウズ,ウーラオス悪
フライゴン,ドータクン,アシレーヌ,ウインディ,ナットレイ,ウーラオス悪
シャンデラ,ウーラオス悪,カバルドン,ギャラドス,トゲキッス,ポリゴン２
レントラー,ドラパルト,エースバーン,ウーラオス悪,ゴリランダー,ジバコイル
ルガルガン黄昏,ドラパルト,ウーラオス悪,ポリゴン２,アーマーガア,アシレーヌ
カバルドン,ポリゴン２,ミミッキュ,トゲキッス,エースバーン,ウーラオス悪
カバルドン,ウーラオス悪,エースバーン,ロトム飛,ポリゴン２,ドラミドロ
ラプラス,エースバーン,ミミッキュ,ウーラオス悪,ロトム炎,ゴリランダー
エースバーン,パッチラゴン,ドリュウズ,ゴリランダー,ニンフィア,ウーラオス悪
エースバーン,サニーゴ霊,パッチラゴン,アーマーガア,ウーラオス悪,ハピナス
サンドパン氷鋼,ファイアロー,ウーラオス悪,クレッフィ,ポリゴン２,マリルリ
バンギラス,ドリュウズ,ウーラオス悪,ドヒドイデ,ロトム炎,ドラパルト
ジバコイル,ウオノラゴン,ポリゴン２,エースバーン,ウーラオス悪,エルフーン
ホウオウ,バドレックス黒,ウーラオス水,ミミッキュ,ラッキー,ヌオー
ザシアン,キュレム黒,サンダー電,ウーラオス水,オーロンゲ,ヌオー
ホウオウ,ネクロズマ日,エレザード,ランドロス霊,ミミッキュ,ウーラオス水
ムゲンダイナ,テッカグヤ,ウーラオス水,ヤドキング毒超,バルジーナ,ヌオー
バドレックス黒,ゴリランダー,ウーラオス水,ランドロス霊,ポリゴン２,トゲキッス
イベルタル,カバルドン,ヤドキング毒超,ナットレイ,ウーラオス水,ヒヒダルマ氷
バドレックス黒,ランドロス霊,サンダー電,ウーラオス水,ポリゴン２,ナットレイ
ムゲンダイナ,ウインディ,ウーラオス水,サンダー電,エースバーン,ドリュウズ
バドレックス黒,バンギラス,ウーラオス水,サンダー電,ナットレイ,マンムー
バドレックス黒,ウーラオス水,ランドロス霊,ポリゴン２,ナットレイ,カプ・コケコ
イベルタル,ギルガルド,カバルドン,ウツロイド,ウーラオス水,ヒードラン
バドレックス黒,ウーラオス水,カプ・コケコ,ランドロス霊,ヒードラン,メタモン
バドレックス黒,ランドロス霊,ウーラオス水,ハッサム,カプ・テテフ,バルジーナ
ゼルネアス,ウルガモス,アーゴヨン,ランドロス霊,ウーラオス水,オーロンゲ
バドレックス黒,バルジーナ,ウーラオス水,カプ・コケコ,ランドロス霊,ヒードラン
バドレックス黒,ランドロス霊,ウーラオス水,バルジーナ,カプ・コケコ,ヒードラン
バドレックス黒,バルジーナ,アーゴヨン,カプ・コケコ,ランドロス霊,ウーラオス水
ザシアン,ウーラオス水,ウルガモス,ヤドキング毒超,ヌオー,ポリゴン２
ザシアン,ランドロス霊,ロトム炎,アーゴヨン,ウーラオス水,オーロンゲ
バドレックス黒,ウーラオス水,サンダー電,ランドロス霊,ゴリランダー,ヒードラン
バドレックス黒,サンダー電,バルジーナ,ナットレイ,ウーラオス水,ランドロス霊
ムゲンダイナ,ウーラオス水,ランドロス霊,ナットレイ,アシレーヌ,ヤレユータン
バドレックス黒,ナットレイ,マンムー,サンダー電,ウーラオス水,バンギラス
ヌメルゴン,サンダー電,マンムー,ウーラオス水,ニンフィア,ドヒドイデ
サンダー電,ウーラオス水,ランドロス霊,カプ・レヒレ,ポリゴン２,ヤドキング毒超
ドラパルト,キュウコン氷妖,サンダー電,ウーラオス水,ポリゴン２,ランドロス霊
マンムー,サンダー電,ウーラオス水,カイリュー,ウツロイド,ナットレイ
サンダー電,マンムー,ナットレイ,ウーラオス水,フーディン,ドラパルト
サンダー電,ウーラオス水,ランドロス霊,カプ・レヒレ,ヤドキング毒超,ポリゴン２
レイスポス,カプ・テテフ,ミミッキュ,ウーラオス水,ポリゴンＺ,ラグラージ
サンダー電,ウーラオス水,ドラパルト,ラグラージ,ヒードラン,ミミッキュ
サンダー電,ウーラオス水,ポリゴン２,エースバーン,カプ・テテフ,ドリュウズ
ドラパルト,カバルドン,ウツロイド,ナットレイ,ウーラオス水,サンダー電
ドラパルト,ラグラージ,ウツロイド,サンダー電,ミミッキュ,ウーラオス水
ウーラオス水,ランドロス霊,ヤドキング毒超,サンダー電,ポリゴン２,ミミッキュ
ボルトロス霊,ウーラオス水,カイリュー,ポリゴン２,ピクシー,テッカグヤ
バイバニラ,パッチルドン,カイリュー,ウーラオス水,ジバコイル,ドサイドン
